Palette audit — 151 PNGs, 1167 distinct opaque colours, 237 canonical.

     3  16x16      15%   0.0%  effects/fire/sprite_tiny_fire2__1.png
     3  16x16      28%   0.0%  environment/props/bush.png
     3  16x16      18%   0.0%  environment/props/cut_grass.png
     3  16x16      20%   0.0%  environment/props/dry_shrub.png
     3  16x16      41%   0.0%  environment/props/tree.png
     3  16x16      38%   0.0%  environment/props/vase.png
     3  16x16      38%   0.0%  environment/props/vase_0.png
     3  16x16      29%   0.0%  environment/props/vase_2.png
     3  16x16      20%   0.0%  environment/props/vase_3.png
     3  16x16      42%   0.0%  environment/structures/locked_door.png
     3  16x16      93%   0.0%  environment/terrain/water_0.png
     3  16x16      93%   0.0%  environment/terrain/water_1.png
     3  16x16      93%   0.0%  environment/terrain/water_2.png
     3  16x16      93%   0.0%  environment/terrain/water_3.png
     3  35x7       52%   0.0%  ui/hud/hearts.png
     3  16x16      23%   0.0%  ui/icons/bomb_icon.png
     3  16x16      24%   0.0%  ui/icons/key_icon.png
     3  16x16      14%   0.0%  ui/icons/wood_icon.png
     3  16x16      14%   0.0%  ui/states/off.png
     3  16x16      14%   0.0%  ui/states/on.png
     2  16x16      27%   0.0%  characters/enemies/bat/bat.png
     2  16x16      36%   0.0%  characters/enemies/mage/magic_ball.png
     2  16x16       5%   0.0%  effects/combat/ashes.png
     2  16x16      54%   0.0%  effects/portals/portal_0.png
     2  16x16      38%   0.0%  effects/portals/portal_1.png
     2  16x16      43%   0.0%  environment/props/rock.png
     2  16x16      43%   0.0%  environment/props/rock__1.png
     2  16x16      13%   0.0%  environment/props/vase_4.png
     2  16x16       9%   0.0%  environment/props/vase_5.png
     2  16x16       6%   0.0%  environment/props/vase_6.png
     2  16x96      12%   0.0%  environment/props/woods.png
     2  16x32      20%   0.0%  environment/structures/up_down_block.png
     2  16x16     100%   0.0%  environment/terrain/dungeon_floor.png
     2  16x16     100%   0.0%  environment/terrain/dungeon_floor__1.png
     2  16x16     100%   0.0%  environment/terrain/grass.png
     2  16x96      12%   0.0%  environment/tilesets/forest_tile_set (2).png
     2  16x16      17%   0.0%  items/collectibles/wood.png
     2  22x22      29%   0.0%  ui/hud/hud_slot.png
     2  16x16      23%   0.0%  ui/states/up.png
     1  16x16      27%   0.0%  characters/enemies/bat/bat_hurt.png
     1  16x16      13%   0.0%  characters/enemies/slime/BigSlimeFootSteps.png
     1  16x16      13%   0.0%  characters/enemies/slime/BigSlimePool.png
     1  16x16       5%   0.0%  characters/enemies/slime/SlimeFootSteps.png
     1  16x16      13%   0.0%  characters/enemies/slime/SlimePool.png
     1  16x16      31%   0.0%  characters/enemies/turret/turret.png
     1  16x16      26%   0.0%  characters/enemies/turret/turret_bullet.png
     1  16x16      30%   0.0%  characters/enemies/undead/undead_hurt.png
     1  64x64      26%   0.0%  effects/ambient/cloud_fog.png
     1  16x16       8%   0.0%  effects/ambient/item_shadow.png
     1  32x48      17%   0.0%  effects/ambient/web_spider.png
     1  1x1       100%   0.0%  effects/combat/blood.png
     1  16x16       2%   0.0%  effects/combat/foot_steps.png
     1  16x16      18%   0.0%  effects/combat/pool_of_blood.png
     1  16x16      23%   0.0%  effects/combat/pool_of_blood__1.png
     1  16x16      30%   0.0%  effects/portals/Respawn.png
     1  16x16      28%   0.0%  environment/props/board.png
     1  16x16      42%   0.0%  environment/props/suspicious.png
     1  16x16      18%   0.0%  environment/structures/build.png
     1  16x16     100%   0.0%  environment/terrain/sand.png
     1  16x16     100%   0.0%  environment/terrain/wall.png
     1  16x16      30%   0.0%  items/collectibles/ballon.png
     1  16x16       9%   0.0%  items/collectibles/coin.png
     1  16x16       6%   0.0%  items/equipment/arrow.png
     1  60x6       58%   0.0%  ui/hud/numbers.png
     1  26x22      66%   0.0%  ui/icons/ballon_icon.png
     1  2x2       100%   0.0%  ui/icons/hero_icon.png
     1  16x16      42%   0.0%  ui/states/alert.png

Semi-transparent pixels overall: 523 of 224186 (0.23%) — alpha is effectively BINARY.
